epoch,train_loss,val_loss
1,0.559396505355835,0.24831432104110718
2,0.555189973115921,0.2747726043065389
3,0.551992666721344,0.2921547492345174
4,0.5482213199138641,0.2677902777989705
5,0.5478819727897644,0.2601902484893799
6,0.5453628480434418,0.24967579046885172
7,0.5569969236850738,0.30656639734903973
8,0.5448280394077301,0.27567851543426514
9,0.5556455135345459,0.3085188070933024
10,0.5465034902095794,0.2536542812983195
11,0.5494518220424652,0.3233693242073059
12,0.5511874735355378,0.25754880905151367
13,0.5443524301052094,0.22959226369857788
14,0.5549476444721222,0.2692994872728984
15,0.5420257091522217,0.2860717972119649
16,0.5426885485649109,0.288226842880249
17,0.5408827364444733,0.24995400508244833
18,0.5385145485401154,0.24474910895029703
19,0.5390506148338318,0.2512170076370239
20,0.5393625855445862,0.2702687978744507
21,0.5481841802597046,0.28345368305842084
22,0.5370521903038025,0.27103571097056073
23,0.5369360744953156,0.3107638955116272
24,0.5356221973896027,0.25016961495081586
25,0.5341640710830688,0.2674570878346761
26,0.5388717174530029,0.25832321246465045
27,0.5316493391990662,0.2573825716972351
28,0.5316087543964386,0.2548903822898865
29,0.5363194406032562,0.25717175006866455
30,0.5382723033428192,0.28902214765548706
31,0.53041290640831,0.2507015069325765
32,0.528777688741684,0.23985572655995688
33,0.5298569619655609,0.26692767937978107
34,0.5284675478935241,0.27104560534159344
35,0.5339942097663879,0.26140014330546063
36,0.5277927398681641,0.26124779383341473
37,0.5266831815242767,0.25910788774490356
38,0.5318884491920471,0.2604626218477885
39,0.5261386930942535,0.24943941831588745
40,0.525339788198471,0.26284849643707275
41,0.5256906032562256,0.2625121275583903
42,0.5316604435443878,0.2956949869791667
43,0.5253886997699737,0.3072068691253662
44,0.5248677015304566,0.3028542995452881
45,0.5230034530162812,0.24915101130803427
46,0.5299056649208069,0.2816517154375712
47,0.5233612775802612,0.2868366042772929
48,0.5224434912204743,0.25248076518376666
49,0.5226757228374481,0.26243825753529865
50,0.5284082949161529,0.26820846398671466
51,0.5220782577991485,0.2599366505940755
52,0.5271060407161713,0.27781128883361816
53,0.5211465775966644,0.26506980260213214
54,0.5217684388160706,0.2624230980873108
55,0.5207710266113281,0.2500201463699341
56,0.519642436504364,0.2468143900235494
57,0.520762813091278,0.26768996318181354
58,0.5202717244625091,0.25584590435028076
59,0.5199394822120667,0.2457024852434794
60,0.5267908871173859,0.29867788155873615
61,0.520620834827423,0.2649020552635193
62,0.5194272220134735,0.257913072903951
63,0.5205752372741699,0.30360329151153564
64,0.5193012654781342,0.26516928275426227
65,0.5255678594112396,0.26811158657073975
66,0.5259043991565704,0.3056495587031047
67,0.5205297708511353,0.30981945991516113
68,0.5196118116378784,0.3090130686759949
69,0.5200818598270416,0.30405863126118976
70,0.5207329869270325,0.28571466604868573
71,0.5195808410644531,0.3039061228434245
72,0.5191973507404327,0.285366694132487
73,0.5172974944114686,0.25587079922358197
74,0.5183960556983948,0.24770285685857138
75,0.5198852479457855,0.2564842303593953
76,0.5175011873245239,0.2699618339538574
77,0.5179248631000519,0.2733000914255778
78,0.5238912343978882,0.26587794224421185
79,0.51809863448143,0.2587830622990926
80,0.5174101650714874,0.2763746380805969
81,0.5245967149734497,0.25693412621816
82,0.5185561597347259,0.2630116939544678
83,0.5186907291412354,0.2651873230934143
84,0.5167968094348907,0.2503462831179301
85,0.5183301389217376,0.2542925675710042
86,0.5177723705768585,0.26108449697494507
87,0.5176282227039337,0.2695463299751282
88,0.5232111513614655,0.25243622064590454
89,0.5173260509967804,0.25991257031758624
90,0.524542760848999,0.305172065893809
91,0.5166142642498016,0.2812729875246684
92,0.5239934027194977,0.283069372177124
